54,F,-1,39,34,'Suncorp Stadium, Brisbane','2023-08-07 09:30:00',-1,-1,-1,39,34
55,F,-1,46,45,'Coopers Stadium, Adelaide','2023-08-08 13:00:00',-1,-1,-1,46,45
56,F,-1,44,42,'AAMI Park, Melbourne','2023-08-08 10:00:00',-1,-1,-1,44,42
57,F,-1,49,64,'Sky Stadium, Wellington','2023-08-11 03:00:00',-1,-1,-1,49,64
58,F,-1,50,53,'Eden Park, Auckland','2023-08-11 09:30:00',-1,-1,-1,50,53
59,F,-1,51,54,'Suncorp Stadium, Brisbane','2023-08-12 09:00:00',-1,-1,-1,51,54
60,F,-1,52,55,'Stadium Australia, Sydney','2023-08-12 12:30:00',-1,-1,-1,52,55
61,F,-1,56,57,'Eden Park, Auckland','2023-08-15 10:00:00',-1,-1,-1,56,57
62,F,-1,58,59,'Stadium Australia, Sydney','2023-08-16 12:00:00',-1,-1,-1,58,59
63,F,-1,60,61,'Suncorp Stadium, Brisbane','2023-08-19 10:00:00',-1,-1,-1,60,61
64,F,-1,62,63,'Stadium Australia, Sydney','2023-08-20 12:00:00',-1,-1,-1,62,63
