70,V,8,115,129,,'2021-10-16 15:30:00',-1,-1,-1,-1,-1
71,V,8,175,65,,'2021-10-16 15:30:00',-1,-1,-1,-1,-1
72,V,8,80,131,,'2021-10-16 15:30:00',-1,-1,-1,-1,-1
73,V,9,83,7,,'2021-10-23 15:30:00',-1,-1,-1,-1,-1
74,V,9,40,175,,'2021-10-23 15:30:00',-1,-1,-1,-1,-1
75,V,9,129,91,,'2021-10-23 15:30:00',-1,-1,-1,-1,-1
76,V,9,54,87,,'2021-10-23 15:30:00',-1,-1,-1,-1,-1
77,V,9,65,6,,'2021-10-23 15:30:00',-1,-1,-1,-1,-1
78,V,9,81,95,,'2021-10-23 15:30:00',-1,-1,-1,-1,-1
79,V,9,1635,115,,'2021-10-23 15:30:00',-1,-1,-1,-1,-1
80,V,9,16,80,,'2021-10-23 15:30:00',-1,-1,-1,-1,-1
81,V,9,131,112,,'2021-10-23 15:30:00',-1,-1,-1,-1,-1
82,V,10,83,81,,'2021-10-30 15:30:00',-1,-1,-1,-1,-1
83,V,10,95,16,,'2021-10-30 15:30:00',-1,-1,-1,-1,-1
84,V,10,6,131,,'2021-10-30 15:30:00',-1,-1,-1,-1,-1
85,V,10,7,65,,'2021-10-30 15:30:00',-1,-1,-1,-1,-1
86,V,10,87,129,,'2021-10-30 15:30:00',-1,-1,-1,-1,-1
87,V,10,91,1635,,'2021-10-30 15:30:00',-1,-1,-1,-1,-1
88,V,10,112,115,,'2021-10-30 15:30:00',-1,-1,-1,-1,-1
89,V,10,175,54,,'2021-10-30 15:30:00',-1,-1,-1,-1,-1
90,V,10,80,40,,'2021-10-30 15:30:00',-1,-1,-1,-1,-1
91,V,11,40,112,,'2021-11-06 15:30:00',-1,-1,-1,-1,-1
92,V,11,129,175,,'2021-11-06 15:30:00',-1,-1,-1,-1,-1
93,V,11,115,91,,'2021-11-06 15:30:00',-1,-1,-1,-1,-1
94,V,11,54,6,,'2021-11-06 15:30:00',-1,-1,-1,-1,-1
95,V,11,65,80,,'2021-11-06 15:30:00',-1,-1,-1,-1,-1
96,V,11,81,87,,'2021-11-06 15:30:00',-1,-1,-1,-1,-1
97,V,11,1635,7,,'2021-11-06 15:30:00',-1,-1,-1,-1,-1
98,V,11,16,83,,'2021-11-06 15:30:00',-1,-1,-1,-1,-1
99,V,11,131,95,,'2021-11-06 15:30:00',-1,-1,-1,-1,-1
100,V,12,83,131,,'2021-11-20 15:30:00',-1,-1,-1,-1,-1
101,V,12,95,40,,'2021-11-20 15:30:00',-1,-1,-1,-1,-1
102,V,12,6,129,,'2021-11-20 15:30:00',-1,-1,-1,-1,-1
103,V,12,7,16,,'2021-11-20 15:30:00',-1,-1,-1,-1,-1
104,V,12,87,115,,'2021-11-20 15:30:00',-1,-1,-1,-1,-1
105,V,12,112,91,,'2021-11-20 15:30:00',-1,-1,-1,-1,-1
106,V,12,175,1635,,'2021-11-20 15:30:00',-1,-1,-1,-1,-1
107,V,12,81,65,,'2021-11-20 15:30:00',-1,-1,-1,-1,-1
108,V,12,80,54,,'2021-11-20 15:30:00',-1,-1,-1,-1,-1
109,V,13,40,83,,'2021-11-27 15:30:00',-1,-1,-1,-1,-1
110,V,13,129,112,,'2021-11-27 15:30:00',-1,-1,-1,-1,-1
111,V,13,91,80,,'2021-11-27 15:30:00',-1,-1,-1,-1,-1
112,V,13,115,175,,'2021-11-27 15:30:00',-1,-1,-1,-1,-1
113,V,13,54,95,,'2021-11-27 15:30:00',-1,-1,-1,-1,-1
114,V,13,65,87,,'2021-11-27 15:30:00',-1,-1,-1,-1,-1
115,V,13,1635,6,,'2021-11-27 15:30:00',-1,-1,-1,-1,-1
116,V,13,16,81,,'2021-11-27 15:30:00',-1,-1,-1,-1,-1
117,V,13,131,7,,'2021-11-27 15:30:00',-1,-1,-1,-1,-1
